cliente_id;nombre;apellido;email;telefono;fecha_registro;ciudad;pais
1;Chuy;Herranz;chuy.herranz.6149@yahoo.com;+34 942227607;2023-12-05;Punta del Este;Uruguay
2;Carla;Valderrama;carla.valderrama.4102@gmail.com;+34811 008 493;2023-12-05;Valparaíso;Chile
3;Petrona;Bravo;petrona.bravo.6153@yahoo.com;+34818 771 842;2023-12-07;Córdoba;Argentina
4;Nacho;Córdoba;nacho.cordoba.6156@outlook.com;+34974 829 303;2023-12-07;Montevideo;Uruguay
5;Mohamed;Macías;mohamed.macias.8205@outlook.com;+34949484864;2023-12-08;Rosario;Argentina
6;José Antonio;Anguita;joseantonio.anguita.6163@yahoo.com;+34 847 03 55 29;2023-12-09;Salto;Uruguay
7;Santiago;Carlos;santiago.carlos.4117@outlook.com;+34 710 88 16 00;2023-12-10;Córdoba;Argentina
8;Ciríaco;Pont;ciriaco.pont.4118@outlook.com;+34875 12 24 88;2023-12-11;Barcelona;España
9;Flavio;Avilés;flavio.aviles.8217@outlook.com;+34 987 090 236;2023-12-11;Sevilla;España
10;Mercedes;Martin;mercedes.martin.6169@outlook.com;+34 922 016 301;2023-12-12;Salto;Uruguay
11;Cecilia;Amaya;cecilia.amaya.6175@gmail.com;+34 736 88 94 47;2023-12-13;Salto;Uruguay
12;Violeta;Sierra;violeta.sierra.2079@outlook.com;+34 883 79 16 11;2023-12-14;Punta del Este;Uruguay
13;Gerardo;Mendizábal;gerardo.mendizabal.8226@hotmail.com;+34 923 177 425;2023-12-15;Madrid;España
14;Vidal;Pavón;vidal.pavon.6179@gmail.com;+34949 689 848;2023-12-15;Valparaíso;Chile
15;Hector;Beltran;hector.beltran.4135@outlook.com;+34 974 802 839;2023-12-15;Santiago;Chile
16;Teófila;Peiró;teofila.peiro.2089@hotmail.com;+34849 366 700;2023-12-15;Montevideo;Uruguay
17;Samuel;Baños;samuel.baños.6193@hotmail.com;+34927611036;2023-12-16;Concepción;Chile
18;Pascuala;Naranjo;pascuala.naranjo.2103@gmail.com;+34 837 286 990;2023-12-16;Barcelona;España
19;Carlito;Chaves;carlito.chaves.4151@hotmail.com;+34 842 22 77 84;2023-12-16;Córdoba;Argentina
20;Samu;Blázquez;samu.blazquez.6201@yahoo.com;+34822945255;2023-12-18;Buenos Aires;Argentina
21;Francisco Jose;Corral;franciscojose.corral.2111@hotmail.com;+34 806629722;2023-12-19;Punta del Este;Uruguay
22;Inmaculada;Cornejo;inmaculada.cornejo.8255@yahoo.com;+34 722 21 82 25;2023-12-20;Montevideo;Uruguay
23;Rafael;Alcázar;rafael.alcazar.4160@hotmail.com;+34 849164294;2023-12-23;Valparaíso;Chile
24;Salomé;Martinez;salome.martinez.8258@yahoo.com;+34881905877;2023-12-23;Salto;Uruguay
25;Loreto;Batalla;loreto.batalla.6211@outlook.com;+34 984 62 95 16;2023-12-23;Barcelona;España
26;Gustavo;Bellido;gustavo.bellido.6212@outlook.com;+34 971 63 84 19;2023-12-23;Santiago;Chile
27;Ricardo;Prado;ricardo.prado.4164@yahoo.com;+34806 109 165;2023-12-24;Córdoba;Argentina
28;Clímaco;Calvet;climaco.calvet.4166@gmail.com;+34 713 82 85 69;2023-12-24;Barcelona;España
29;Jordi;Español;jordi.español.6216@yahoo.com;+34873085509;2023-12-25;Barcelona;España
30;Eugenio;Frías;eugenio.frias.4169@outlook.com;+34 942 54 30 95;2023-12-25;Buenos Aires;Argentina
31;Carlos;Escamilla;carlos.escamilla.6230@yahoo.com;+34 969894368;2023-12-26;Córdoba;Argentina
32;Desiderio;Toro;desiderio.toro.2135@gmail.com;+34881 654 121;2023-12-27;Córdoba;Argentina
33;Susana;Noriega;susana.noriega.8280@gmail.com;+34 926 60 69 22;2023-12-27;Salto;Uruguay
34;Carina;Romeu;carina.romeu.2137@outlook.com;+34 846751357;2023-12-29;Rosario;Argentina
35;Anna;Sastre;anna.sastre.8287@gmail.com;+34875 639 456;2023-12-31;Madrid;España
36;Florentina;Salvà;florentina.salvà.4193@outlook.com;+34 944 12 85 42;2024-01-01;Madrid;España
37;Andrea;Sans;andrea.sans.6244@hotmail.com;+34876 560 581;2024-01-02;Sevilla;España
38;Azahar;Ayllón;azahar.ayllon.2149@hotmail.com;+34888 260 097;2024-01-02;Rosario;Argentina
39;Selena;Solé;selena.sole.6246@outlook.com;+34 824999475;2024-01-04;Santiago;Chile
40;Claudio;Bartolomé;claudio.bartolome.8295@yahoo.com;+34926 90 95 00;2024-01-05;Córdoba;Argentina
41;Julieta;Segovia;julieta.segovia.8301@yahoo.com;+34 984 529 322;2024-01-05;Montevideo;Uruguay
42;Porfirio;Morata;porfirio.morata.6256@yahoo.com;+34939591696;2024-01-07;Salto;Uruguay
43;Benito;Salcedo;benito.salcedo.8305@hotmail.com;+34984 53 16 07;2024-01-07;Valparaíso;Chile
44;Basilio;Iniesta;basilio.iniesta.2162@hotmail.com;+34 923195665;2024-01-08;Rosario;Argentina
45;Eric;Paz;eric.paz.8306@gmail.com;+34872 25 85 71;2024-01-09;Madrid;España
46;Silvia;Bustos;silvia.bustos.4212@hotmail.com;+34948 585 925;2024-01-09;Madrid;España
47;Teresa;Benet;teresa.benet.6263@outlook.com;+34 938845139;2024-01-09;Barcelona;España
48;Gaspar;Murcia;gaspar.murcia.8312@gmail.com;+34 973 09 96 30;2024-01-10;Salto;Uruguay
49;Martín;Gomis;martin.gomis.2168@outlook.com;+34 730 749 204;2024-01-12;Sevilla;España
50;Marcia;Madrigal;marcia.madrigal.8313@gmail.com;+34 736 716 322;2024-01-13;Madrid;España
51;África;Solsona;africa.solsona.4217@outlook.com;+34976 313 013;2024-01-13;Concepción;Chile
52;Alondra;Prieto;alondra.prieto.6270@hotmail.com;+34 745198186;2024-01-14;Valparaíso;Chile
53;Mariana;Vaquero;mariana.vaquero.8320@gmail.com;+34 986586439;2024-01-16;Valparaíso;Chile
54;Leire;Castrillo;leire.castrillo.8321@gmail.com;+34 876552517;2024-01-17;Madrid;España
55;Fátima;Rovira;fatima.rovira.2178@yahoo.com;+34 948 236 164;2024-01-17;Rosario;Argentina
56;Hermenegildo;Echevarría;hermenegildo.echevarria.4231@yahoo.com;+34981062288;2024-01-17;Madrid;España
57;Julio;Torrens;julio.torrens.4232@gmail.com;+34806 791 453;2024-01-18;Valparaíso;Chile
58;Lola;Lerma;lola.lerma.2186@outlook.com;+34 877837637;2024-01-19;Concepción;Chile
59;Eugenio;Molins;eugenio.molins.6285@yahoo.com;+34818553761;2024-01-19;Córdoba;Argentina
60;Eusebio;Planas;eusebio.planas.4243@yahoo.com;+34959382313;2024-01-20;Madrid;España
61;Flora;Costa;flora.costa.2195@yahoo.com;+34 883904725;2024-01-20;Córdoba;Argentina
62;Hipólito;Carnero;hipolito.carnero.8339@gmail.com;+34882 769 792;2024-01-21;Santiago;Chile
63;Maricela;Marquez;maricela.marquez.6295@gmail.com;+34 822822201;2024-01-22;Córdoba;Argentina
64;Ibán;Pareja;iban.pareja.4249@gmail.com;+34843 990 632;2024-01-24;Salto;Uruguay
65;Sebastián;Ayala;sebastian.ayala.6302@hotmail.com;+34 876120250;2024-01-24;Barcelona;España
66;Adela;Reig;adela.reig.4255@gmail.com;+34844 79 51 14;2024-01-24;Sevilla;España
67;Jordi;Feliu;jordi.feliu.6138@outlook.com;+34 920 081 899;2024-01-26;Concepción;Chile
68;Román;Pozo;roman.pozo.2214@gmail.com;+34925 798 141;2024-01-26;Santiago;Chile
69;Gloria;Zurita;gloria.zurita.4263@outlook.com;+34 843284517;2024-01-26;Barcelona;España
70;Juana;Daza;juana.daza.8363@outlook.com;+34 879201931;2024-01-27;Madrid;España
71;Raúl;Ros;raul.ros.2221@hotmail.com;+34 878 19 71 43;2024-01-27;Rosario;Argentina
72;Mercedes;Abella;mercedes.abella.6318@hotmail.com;+34849 29 15 73;2024-01-28;Punta del Este;Uruguay
73;Azahar;Vallejo;azahar.vallejo.8366@gmail.com;+34 849 96 60 95;2024-01-29;Sevilla;España
74;Zoraida;Toro;zoraida.toro.6320@hotmail.com;+34973 08 31 44;2024-01-30;Santiago;Chile
75;María;Aragón;maria.aragon.4270@hotmail.com;+34 902 080 147;2024-02-01;Punta del Este;Uruguay
76;Ángela;Ojeda;angela.ojeda.6323@outlook.com;+34 884033194;2024-02-01;Rosario;Argentina
77;Macarena;Salas;macarena.salas.2228@hotmail.com;+34 872371624;2024-02-02;Buenos Aires;Argentina
78;Benigno;Cañizares;benigno.cañizares.4277@gmail.com;+34828475338;2024-02-03;Punta del Este;Uruguay
79;Francisco;Núñez;francisco.nuñez.2232@yahoo.com;+34 800 959 154;2024-02-03;Montevideo;Uruguay
80;Carmelo;Anguita;carmelo.anguita.6331@outlook.com;+34 975 44 10 00;2024-02-03;Punta del Este;Uruguay
81;Josefa;Pellicer;josefa.pellicer.4284@gmail.com;+34 877 682 115;2024-02-04;Sevilla;España
82;Petrona;Amador;petrona.amador.8381@yahoo.com;+34920 153 792;2024-02-04;Punta del Este;Uruguay
83;Julieta;Calvo;julieta.calvo.2237@outlook.com;+34 883910443;2024-02-05;Rosario;Argentina
84;Maribel;Vázquez;maribel.vazquez.8384@yahoo.com;+34745 55 15 20;2024-02-05;Salto;Uruguay
85;Anabel;Duque;anabel.duque.2241@hotmail.com;+34988 24 57 70;2024-02-07;Santiago;Chile
86;Chus;Gibert;chus.gibert.4292@gmail.com;+34 981377685;2024-02-07;Concepción;Chile
87;Teresa;Palmer;teresa.palmer.2251@hotmail.com;+34 741176296;2024-02-09;Sevilla;España
88;Jose Ignacio;Pla;joseignacio.pla.8396@yahoo.com;+34 927 18 49 90;2024-02-09;Madrid;España
89;Isaac;Aguilera;isaac.aguilera.4306@yahoo.com;+34845 96 56 29;2024-02-10;Santiago;Chile
90;Rosalina;Cabeza;rosalina.cabeza.2259@gmail.com;+34853 50 53 84;2024-02-10;Córdoba;Argentina
91;Úrsula;Carmona;ursula.carmona.8404@gmail.com;+34881 98 26 43;2024-02-10;Montevideo;Uruguay
92;Daniela;Cabo;daniela.cabo.6357@gmail.com;+34 888 853 268;2024-02-11;Santiago;Chile
93;Gil;Rodriguez;gil.rodriguez.4311@outlook.com;+34 920 724 473;2024-02-12;Sevilla;España
94;Victor Manuel;Lumbreras;victormanuel.lumbreras.8411@yahoo.com;+34902 239 477;2024-02-13;Concepción;Chile
95;Gema;Cuenca;gema.cuenca.8413@outlook.com;+34925 75 64 47;2024-02-13;Buenos Aires;Argentina
96;Bernarda;Barriga;bernarda.barriga.2270@yahoo.com;+34 920 76 03 51;2024-02-14;Salto;Uruguay
97;Maxi;Checa;maxi.checa.4319@gmail.com;+34823 389 776;2024-02-15;Punta del Este;Uruguay
98;Remedios;Salinas;remedios.salinas.6368@gmail.com;+34 979 615 166;2024-02-15;Madrid;España
99;Rico;Cerdán;rico.cerdan.4318@outlook.com;+34 882 19 22 19;2024-02-16;Sevilla;España
100;Cipriano;Manrique;cipriano.manrique.4323@yahoo.com;+34 945 838 058;2024-02-16;Santiago;Chile
101;Lázaro;Fernández;lazaro.fernandez.3302@outlook.com;+34879128456;2024-02-18;Montevideo;Uruguay
102;Norberto;Mora;norberto.mora.8425@hotmail.com;+34 881 568 787;2024-02-19;Punta del Este;Uruguay
103;Teófila;Llabrés;teofila.llabres.6377@hotmail.com;+34944 75 30 00;2024-02-19;Valparaíso;Chile
104;Marisa;Abella;marisa.abella.2283@yahoo.com;+34 947 883 604;2024-02-19;Rosario;Argentina
105;Arsenio;Pardo;arsenio.pardo.8432@outlook.com;+34 842273515;2024-02-20;Santiago;Chile
106;Victoria;Llopis;victoria.llopis.8434@outlook.com;+34925 86 76 01;2024-02-21;Madrid;España
107;Sebastian;Manzano;sebastian.manzano.8440@gmail.com;+34921619584;2024-02-21;Punta del Este;Uruguay
108;Cloe;Higueras;cloe.higueras.2297@hotmail.com;+34888 295 631;2024-02-22;Punta del Este;Uruguay
109;Adalberto;Amores;adalberto.amores.2301@hotmail.com;+34807 25 73 03;2024-02-22;Buenos Aires;Argentina
110;Ángel;Alvarez;angel.alvarez.2303@hotmail.com;+34987 712 830;2024-02-22;Córdoba;Argentina
111;Pastora;Riquelme;pastora.riquelme.8448@outlook.com;+34 943878078;2024-02-23;Barcelona;España
112;Leopoldo;Pizarro;leopoldo.pizarro.6400@yahoo.com;+34 947490085;2024-02-23;Rosario;Argentina
113;Azeneth;Piñol;azeneth.piñol.6404@outlook.com;+34 806435471;2024-02-23;Punta del Este;Uruguay
114;Gabino;Galvez;gabino.galvez.8452@gmail.com;+34717 71 41 84;2024-02-26;Sevilla;España
115;Carmelita;Zurita;carmelita.zurita.8454@gmail.com;+34661 99 09 57;2024-02-26;Punta del Este;Uruguay
116;René;Carmona;rene.carmona.4358@yahoo.com;+34 880 741 636;2024-02-26;Buenos Aires;Argentina
117;Jose Luis;Cabañas;joseluis.cabañas.4360@yahoo.com;+34 827 53 82 81;2024-02-26;Santiago;Chile
118;Melisa;Torrecilla;melisa.torrecilla.2310@gmail.com;+34981 02 35 04;2024-02-26;Salto;Uruguay
119;Nicolasa;Figuerola;nicolasa.figuerola.6411@hotmail.com;+34926 279 710;2024-02-27;Valparaíso;Chile
120;Benito;Vargas;benito.vargas.2319@hotmail.com;+34 902 63 45 80;2024-02-27;Santiago;Chile
121;Edmundo;Alfonso;edmundo.alfonso.4371@yahoo.com;+34986 36 78 79;2024-02-28;Concepción;Chile
122;Lope;Haro;lope.haro.6420@gmail.com;+34973 346 407;2024-02-29;Montevideo;Uruguay
123;Victor;Vicente;victor.vicente.8468@outlook.com;+34 977 333 204;2024-03-01;Córdoba;Argentina
124;Jose;Segarra;jose.segarra.4374@yahoo.com;+34922 67 92 45;2024-03-02;Madrid;España
125;Paco;Vázquez;paco.vazquez.6423@yahoo.com;+34913 82 63 18;2024-03-04;Madrid;España
