cliente_id;nombre;apellido;email;telefono;fecha_registro;ciudad;pais
1;Viviana;Báez;viviana.baez.8196@gmail.com;+34947266021;2023-12-06;Montevideo;Uruguay
2;Jacinto;Pozuelo;jacinto.pozuelo.8197@yahoo.com;+34983 552 339;2023-12-08;Montevideo;Uruguay
3;Edelmira;Lluch;edelmira.lluch.2057@yahoo.com;+34888 85 25 71;2023-12-11;Córdoba;Argentina
4;Salomón;Arteaga;salomon.arteaga.2058@gmail.com;+34 820 19 86 99;2023-12-12;Santiago;Chile
5;Joel;Nevado;joel.nevado.8204@yahoo.com;+34 943 155 393;2023-12-12;Salto;Uruguay
6;Abigaíl;Crespo;abigail.crespo.2061@hotmail.com;+34 877 07 57 93;2023-12-12;Madrid;España
7;Elisabet;Fortuny;elisabet.fortuny.8206@yahoo.com;+34 923 253 340;2023-12-13;Punta del Este;Uruguay
8;Nico;Sobrino;nico.sobrino.2063@hotmail.com;+34935611106;2023-12-14;Valparaíso;Chile
9;Amarilis;Serna;amarilis.serna.8208@hotmail.com;+34739889467;2023-12-14;Buenos Aires;Argentina
10;Inés;Tamayo;ines.tamayo.6160@outlook.com;+34820 33 96 29;2023-12-15;Buenos Aires;Argentina
11;Sara;Gual;sara.gual.4119@hotmail.com;+34 873823315;2023-12-15;Sevilla;España
12;Felicidad;Colom;felicidad.colom.2072@outlook.com;+34720 83 64 32;2023-12-15;Barcelona;España
13;Mateo;Camps;mateo.camps.6170@hotmail.com;+34946425075;2023-12-15;Madrid;España
14;Heraclio;Zorrilla;heraclio.zorrilla.4127@yahoo.com;+34811377954;2023-12-15;Montevideo;Uruguay
15;Eulalia;Almeida;eulalia.almeida.4128@gmail.com;+34973210543;2023-12-15;Madrid;España
16;Dionisia;Jódar;dionisia.jodar.6176@gmail.com;+34965 180 481;2023-12-15;Valparaíso;Chile
17;Sebastián;Rius;sebastian.rius.8224@yahoo.com;+34 976 77 06 76;2023-12-16;Rosario;Argentina
18;Flora;Garay;flora.garay.4131@hotmail.com;+34 923 219 195;2023-12-17;Salto;Uruguay
19;Jafet;Raya;jafet.raya.4146@gmail.com;+34948961684;2023-12-19;Madrid;España
20;Pascuala;Girona;pascuala.girona.4147@yahoo.com;+34921 610 545;2023-12-19;Montevideo;Uruguay
21;Jessica;Bertrán;jessica.bertran.8246@gmail.com;+34849 16 13 68;2023-12-20;Buenos Aires;Argentina
22;Horacio;Múñiz;horacio.muñiz.2106@outlook.com;+34 975 28 04 12;2023-12-20;Salto;Uruguay
23;Palmira;Benito;palmira.benito.6202@yahoo.com;+34 846 28 59 29;2023-12-20;Rosario;Argentina
24;Amor;Ros;amor.ros.8254@gmail.com;+34 842881749;2023-12-21;Barcelona;España
25;Perlita;Gracia;perlita.gracia.6206@hotmail.com;+34945 094 900;2023-12-21;Córdoba;Argentina
26;Arcelia;Sanmiguel;arcelia.sanmiguel.6210@outlook.com;+34977 94 77 22;2023-12-23;Madrid;España
27;Álvaro;Sotelo;alvaro.sotelo.4166@hotmail.com;+34 928345411;2023-12-23;Sevilla;España
28;Santiago;Hurtado;santiago.hurtado.6216@outlook.com;+34 885 97 45 96;2023-12-23;Barcelona;España
29;Felicidad;Terrón;felicidad.terron.4175@gmail.com;+34947020984;2023-12-24;Sevilla;España
30;Lidia;Lobato;lidia.lobato.8272@hotmail.com;+34951 866 899;2023-12-24;Montevideo;Uruguay
31;María;Valdés;maria.valdes.4177@hotmail.com;+34 824392238;2023-12-27;Madrid;España
32;Jordi;Portero;jordi.portero.2131@outlook.com;+34927 26 26 18;2023-12-27;Santiago;Chile
33;Armida;Franch;armida.franch.2133@outlook.com;+34888 60 65 43;2023-12-27;Buenos Aires;Argentina
34;Lisandro;Fabra;lisandro.fabra.4183@gmail.com;+34973 36 48 80;2023-12-28;Sevilla;España
35;Luis;Roldan;luis.roldan.6232@hotmail.com;+34 878 452 934;2023-12-28;Salto;Uruguay
36;Raquel;Arregui;raquel.arregui.2143@outlook.com;+34877835475;2023-12-31;Rosario;Argentina
